embedding,title,is_available
"[0.8063107333869898, 0.3584830733490787, 0.49932104958653833, 0.018850438137491543, 0.2987508707883644, 0.6140016148338865, 0.5929612649964181, 0.7178341339403836]",title0,True
"[0.8739077153555515, 0.5421029258175356, 0.6301154478291074, 0.2753896704991452, 0.5378214228840427, 0.41952546541378843, 0.13706540949589074, 0.708910927912875]",title1,False
"[0.6061317874413844, 0.44973671833904694, 0.33925224434249013, 0.3934074525943637, 0.5639146702528014, 0.139258623268683, 0.874317552352187, 0.8845440463428842]",title2,True
"[0.02156876180695222, 0.9287066352309018, 0.1484368567745601, 0.22558530654834352, 0.7449438645571786, 0.38043685944396455, 0.22250265727224094, 0.3213689843741654]",title3,False
"[0.7308711033020409, 0.5454471644107125, 0.8417375065072336, 0.1936900434828377, 0.8691285637212061, 0.24816358660237137, 0.6153541367151911, 0.8525606813209814]",title4,False
"[0.18793567910734343, 0.6613167334224016, 0.7555290460231524, 0.7903344820462196, 0.7593558758382799, 0.6510869807829914, 0.44238628464620133, 0.3797106802332023]",title5,False
"[0.2680750675430186, 0.056860495605201455, 0.47196433288841677, 0.00182026495017229, 0.965873882063491, 0.22798979036873024, 0.8078254287894724, 0.9743643412751719]",title6,True
"[0.305115064893279, 0.7816899496621793, 0.8098486106763005, 0.13606182637747577, 0.9590766173599569, 0.9047584199787064, 0.7565713367517964, 0.13429652523890667]",title7,False
"[0.4468763992569652, 0.9932537864029738, 0.8542349671017504, 0.04268124716991484, 0.989608648025578, 0.2775066708267897, 0.11112882801945145, 0.8333792177753424]",title8,False
"[0.918506816231228, 0.38486565866780675, 0.524689829413248, 0.1673357122775727, 0.7983040722978011, 0.17048329250227345, 0.48752599577096356, 0.22239855363432337]",title9,True
